mode,N,ratio,client,crashed_client,ops,throughput,p50_get,p95_get,p99_get,p50_put,p95_put,p99_put
abd,5,0.9,2,no,,,,,,,,
abd,5,0.9,1,yes,,,,,,,,
abd,5,0.9,0,no,14792,493.067,29735,50192,93840,29731,50668,99995
block,3,0.1,2,no,17300,576.667,14520,22114,27521,29066,39581,46893
block,3,0.1,0,no,17476,582.533,14173,21735,25176,28619,39083,47061
block,3,0.1,1,yes,,,,,,,,
block,3,0.9,2,no,32384,1079.47,13266,20003,24370,26832,35996,41653
block,3,0.9,0,no,30704,1023.47,13953,21282,26992,28218,38385,46775
block,3,0.9,1,yes,,,,,,,,
abd,3,0.9,2,no,17122,570.733,25851,43566,76036,26144,40716,56842
abd,3,0.9,0,no,15236,507.867,29435,47047,84695,29192,46159,91765
abd,3,0.9,1,yes,,,,,,,,
block,1,0.9,2,no,136942,4564.73,2831,5531,18033,5916,11709,32120
block,1,0.9,1,yes,,,,,,,,
block,1,0.9,0,no,135844,4528.13,2742,6045,20936,5796,13638,37372
abd,1,0.9,2,no,153024,5100.8,2825,5399,16199,2846,5423,17581
abd,1,0.9,1,yes,,,,,,,,
abd,1,0.9,0,no,149042,4968.07,2829,5583,18872,2831,5532,20902
abd,3,0.1,2,no,35468,1182.27,13341,20231,26378,13352,19992,25134
abd,3,0.1,0,no,33456,1115.2,13908,21731,27226,13937,22223,28775
abd,3,0.1,1,yes,,,,,,,,
block,1,0.1,2,no,79422,2647.4,2765,5590,17301,5732,11662,32707
block,1,0.1,1,yes,,,,,,,,
block,1,0.1,0,no,73383,2446.1,2965,6655,25676,6146,13922,35740
abd,1,0.1,2,no,140130,4671,3012,5679,18610,3032,5811,19600
abd,1,0.1,1,yes,,,,,,,,
abd,1,0.1,0,no,146578,4885.93,2750,6277,21297,2756,6279,21115
abd,3,0.9,2,no,36010,1200.33,13129,20039,25673,13216,20371,25107
abd,3,0.9,0,no,33264,1108.8,14063,22126,29443,14059,22234,30189
abd,3,0.9,1,yes,,,,,,,,
abd,5,0.1,2,no,,,,,,,,
abd,5,0.1,1,yes,,,,,,,,
abd,5,0.1,0,no,15887,529.567,29128,45242,55511,29272,46660,58926
block,5,0.9,2,no,,,,,,,,
block,5,0.9,1,yes,,,,,,,,
block,5,0.9,0,no,14164,472.133,29862,47675,58487,60633,85140,99222
block,5,0.1,2,no,,,,,,,,
block,5,0.1,1,yes,,,,,,,,
block,5,0.1,0,no,8278,275.933,29750,46254,54127,60352,82414,94732
